Naziv proteina,Molska Frakcija Uredjeni,Molska Frakcija Neuredjeni,Procenat uredjeni,Procenat neuredjeni,Frakcijska Razlika
AJY53714.1 |virion spike glycoprotein precursor,0.5859,0.4141,58.59%,41.41%,-0.2932
QNC49677.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49686.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QNC49695.1 |spike glycoprotein,0.69822,0.30178,69.82%,30.18%,-0.5678
QOU08480.1 |spike glycoprotein,0.67708,0.32292,67.71%,32.29%,-0.5231
QOU08489.1 |spike glycoprotein,0.66815,0.33185,66.82%,33.18%,-0.5033
QXV44984.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
QXV44993.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
QYU59238.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
QYU59247.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
QYU59256.1 |spike glycoprotein,0.70118,0.29882,70.12%,29.88%,-0.5738
QYU59265.1 |spike glycoprotein,0.70118,0.29882,70.12%,29.88%,-0.5738
QYU59274.1 |spike glycoprotein,0.71746,0.28254,71.75%,28.25%,-0.6062
QYU59283.1 |spike glycoprotein,0.71746,0.28254,71.75%,28.25%,-0.6062
QYU59292.1 |spike glycoprotein,0.74112,0.25888,74.11%,25.89%,-0.6507
QYU59301.1 |spike glycoprotein,0.74112,0.25888,74.11%,25.89%,-0.6507
QYU59310.1 |spike glycoprotein,0.73669,0.26331,73.67%,26.33%,-0.6426
QYU59319.1 |spike glycoprotein,0.73669,0.26331,73.67%,26.33%,-0.6426
SCD11534.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WBH05260.1 |spike glycoprotein,0.65327,0.34673,65.33%,34.67%,-0.4692
WDG39716.1 |virion spike glycoprotein precursor,0.73521,0.26479,73.52%,26.48%,-0.6398
WDG39725.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WDG39734.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39670.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39679.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39688.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39697.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39706.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39715.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39724.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39733.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
WGV39742.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39751.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39760.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39769.1 |virion spike glycoprotein precursor,0.73225,0.26775,73.22%,26.78%,-0.6343
WGV39778.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39787.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39796.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39805.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39814.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39823.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39832.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39841.1 |virion spike glycoprotein precursor,0.73373,0.26627,73.37%,26.63%,-0.6371
WGV39850.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39859.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
WGV39868.1 |virion spike glycoprotein precursor,0.73077,0.26923,73.08%,26.92%,-0.6316
YP_003815426.1 |spike glycoprotein,0.69527,0.30473,69.53%,30.47%,-0.5617
YP_003815435.1 |spike glycoprotein,0.69231,0.30769,69.23%,30.77%,-0.5556
YP_009513277.1 |spike glycoprotein,0.66518,0.33482,66.52%,33.48%,-0.4966
YP_138523.1 |spike glycoprotein,0.70118,0.29882,70.12%,29.88%,-0.5738
